report_date,away,home,start_time_et,away_sp,home_sp,away_american,home_american,market_total,market_over_american,market_under_american,weather_summary,weather_temp_f,weather_wind_mph,weather_precip_pct,bullpen_away_score,bullpen_home_score,recent_form_away_score,recent_form_home_score,game_status_bucket,game_state,game_state_detail,game_status_note,away_score,home_score,verification_status,verification_notes,implied_away_pct_nv,implied_home_pct_nv,raw_model_away_win_pct,raw_model_home_win_pct,final_away_win_pct,final_home_win_pct,market_blend_alpha,model_away_win_pct,model_home_win_pct,edge_away_pct,edge_home_pct,prediction,decision_tier_vs_market,edge_on_pick_pct,model_confidence,missing_data_flags,analyst_confidence,rationale_summary,scoring_status
2026-04-21,HOU,CLE,6:10 PM,Ryan Weiss,Parker Messick,320,-460,,,,72F / 13 mph wind / 1% precip / Open,72.0,13.2,1,0.402,0.363,0.448,0.556,live,Live,In Progress,"Top 4th — HOU 0, CLE 2",0,2,Partial,rotowire_hr_home_side_missing|rotowire_missing,22.47,77.53,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing;rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Ryan Weiss vs Parker Messick. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-21,CIN,TB,6:40 PM,Chase Burns,Steven Matz,-118,101,,,,67F / 21 mph wind / Dome,67.0,21.0,,0.395,0.374,0.438,0.417,live,Live,In Progress,"Middle 2nd — CIN 4, TB 0",4,0,Partial,rotowire_hr_home_side_missing|rotowire_missing,52.11,47.89,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing;rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Chase Burns vs Steven Matz. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-21,STL,MIA,6:40 PM,Dustin May,Chris Paddack,-106,-119,,,,74F / 13 mph wind / 0% precip / Retractable,74.5,13.2,0,0.327,0.439,0.516,0.505,live,Live,In Progress,"Bottom 2nd — STL 1, MIA 1",1,1,Partial,rotowire_hr_home_side_missing|rotowire_missing,48.64,51.36,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing;rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Dustin May vs Chris Paddack. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-21,MIL,DET,6:40 PM,Kyle Harrison,Keider Montero,-103,-118,,,,68F / 7 mph wind / 11% precip / Open,68.4,7.2,11,0.439,0.444,0.428,0.536,live,Live,In Progress,"Top 2nd — MIL 1, DET 0",1,0,Partial,rotowire_hr_home_side_missing|rotowire_missing,48.38,51.62,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing;rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Kyle Harrison vs Keider Montero. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-21,ATL,WSH,6:45 PM,Reynaldo López,Foster Griffin,-158,132,,,,60F / 9 mph wind / 1% precip / Open,60.5,9.3,1,0.498,0.322,0.596,0.455,live,Live,In Progress,"Bottom 1st — ATL 0, WSH 3",0,3,Partial,rotowire_hr_home_side_missing|rotowire_missing,58.69,41.31,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing;rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Reynaldo López vs Foster Griffin. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-21,NYY,BOS,6:45 PM,Luis Gil,Connelly Early,108,-125,,,,43F / 9 mph wind / 0% precip / Open,42.9,9.3,0,0.457,0.418,0.546,0.425,live,Live,In Progress,"Top 2nd — NYY 1, BOS 0",1,0,Partial,rotowire_hr_home_side_missing|rotowire_missing,46.39,53.61,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing;rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Luis Gil vs Connelly Early. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-21,MIN,NYM,7:10 PM,Simeon Woods Richardson,Nolan McLean,139,-165,7.5,-110,-110,41F / 12 mph wind / Open,41.0,12.0,,0.377,0.396,0.507,0.394,live,Live,Warmup,"Warmup — Top 1st — MIN 0, NYM 0",0,0,Partial,rotowire_hr_home_side_missing|rotowire_missing,40.19,59.81,,,,,,,,,,,not_scored,,not_scored,rotowire_hr_home_side_missing;rotowire_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Simeon Woods Richardson vs Nolan McLean. Run compute to refresh lineups, weather, and model outputs before staking.",not_scored
2026-04-21,BAL,KC,7:40 PM,Shane Baz,Kris Bubic,106,-125,9.0,-111,-111,74F / 15 mph wind / 0% precip / Open,74.1,15.4,0,0.404,0.287,0.514,0.373,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,rotowire_hr_home_side_missing,46.63,53.37,53.38,46.62,48.32,51.68,0.25,48.32,51.68,1.69,-1.69,KC,D,-1.69,High,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Shane Baz vs Kris Bubic. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-21,PHI,CHC,7:40 PM,Jesús Luzardo,Shota Imanaga,110,-130,8.5,-112,-112,64F / 5 mph wind / 1% precip / Open,63.5,4.9,1,0.502,0.436,0.544,0.558,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,rotowire_hr_home_side_missing,45.73,54.27,41.97,58.03,44.79,55.21,0.25,44.79,55.21,-0.94,0.94,CHC,D,0.94,High,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Jesús Luzardo vs Shota Imanaga. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-21,PIT,TEX,8:05 PM,Carmen Mlodzinski,Kumar Rocker,100,-118,8.0,-110,-110,61F / 6 mph wind / 8% precip / Retractable,61.0,6.4,8,0.374,0.446,0.495,0.523,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,rotowire_hr_home_side_missing,48.02,51.98,54.63,45.37,49.67,50.33,0.25,49.67,50.33,1.65,-1.65,TEX,D,-1.65,High,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Carmen Mlodzinski vs Kumar Rocker. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-21,SD,COL,8:40 PM,Randy Vásquez,Jimmy Herget,-145,125,11.0,-110,-110,80F / 8 mph wind / 1% precip / Open,79.6,8.4,1,0.544,0.382,0.483,0.537,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,rotowire_hr_home_side_missing,57.11,42.89,48.10,51.90,54.86,45.14,0.25,54.86,45.14,-2.25,2.25,SD,D,-2.25,High,rotowire_hr_home_side_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Randy Vásquez vs Jimmy Herget. Run compute to refresh lineups, weather, and model outputs before staking.",scored
