barrel_pct,batter_hr_profile,bullpen_hr_risk,bvp_context,confidence,edge_pct,estimated_hr_probability,fair_odds,game,hard_hit_pct,hr_odds,implied_probability,label,last_update,launch_angle,lineup_spot,lineup_status,market_odds_status,opposing_pitcher_hr9,park_weather_impact,pitch_type_fit,pitcher_barrel_allowed,pitcher_hard_hit_allowed,player,pull_fly_ball_profile,rank,required_recheck,short_reason,source,team,unit_size,xslg,xwoba
0.104,5 HR / 83 PA,10.0,unavailable/not used; BvP is supporting only,5.0,-4.26,0.11508,+769,AZ@CHC,0.479,+534,0.157729,PASS,2026-05-01,19.2,5,official_mlb_schedule,valid,0.556701,44F / 10 mph wind / 5% precip / open-air; roof not applicable,favorable,0.094,0.458,Seiya Suzuki,unavailable,14,game already started or completed,Confidence cap prevents a BET label.,draftkings,CHC,0.0,0.504,0.394
0.123,8 HR / 97 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-8.82,0.111841,+794,ATL@COL,0.369,+400,0.2,PASS,2026-05-01,24.6,2,official_mlb_schedule,valid,1.391753,60F / 7 mph wind / 1% precip / open-air; roof not applicable,favorable,0.073,0.427,Mickey Moniak,unavailable,15,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,COL,0.0,0.451,0.316
,5 HR / 59 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-0.54,0.111584,+796,CIN@PIT,,+755,0.116959,PASS,2026-05-01,,5,official_mlb_schedule,valid,0.264706,49F / 11 mph wind / 59% precip / open-air; roof not applicable,favorable,0.03,0.39,Nathaniel Lowe,unavailable,16,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,CIN,0.0,,
0.181,7 HR / 128 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-8.66,0.110628,+804,HOU@BOS,0.486,+407,0.197239,PASS,2026-05-01,17.0,2,official_mlb_schedule,valid,1.989474,59F / 7 mph wind / 0% precip / open-air; roof not applicable,neutral,0.072,0.371,Willson Contreras,unavailable,17,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,BOS,0.0,0.551,0.408
0.06,4 HR / 113 PA,9.74,unavailable/not used; BvP is supporting only,7.5,-2.51,0.110014,+809,TEX@DET,0.53,+640,0.135135,PASS,2026-05-01,11.5,4,official_mlb_schedule,valid,1.421053,48F / 8 mph wind / 6% precip / open-air; roof not applicable,favorable,0.103,0.456,Josh Jung,unavailable,18,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,TEX,0.0,0.47,0.368
0.149,5 HR / 120 PA,3.4,unavailable/not used; BvP is supporting only,7.5,-5.27,0.107346,+832,TEX@DET,0.478,+525,0.16,PASS,2026-05-01,16.2,7,official_mlb_schedule,valid,1.451613,48F / 8 mph wind / 6% precip / open-air; roof not applicable,favorable,0.147,0.467,Spencer Torkelson,unavailable,19,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,DET,0.0,0.495,0.376
0.159,8 HR / 134 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-12.04,0.106835,+836,TOR@MIN,0.455,+340,0.227273,PASS,2026-05-01,23.9,1,official_mlb_schedule,valid,0.931034,53F / 8 mph wind / 0% precip / open-air; roof not applicable,neutral,0.091,0.418,Byron Buxton,unavailable,20,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,MIN,0.0,0.439,0.308
0.137,7 HR / 146 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-6.44,0.105677,+846,ATL@COL,0.49,+488,0.170068,PASS,2026-05-01,11.4,2,official_mlb_schedule,valid,1.963636,60F / 7 mph wind / 1% precip / open-air; roof not applicable,favorable,0.113,0.339,Drake Baldwin,unavailable,21,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,ATL,0.0,0.543,0.394
0.14,7 HR / 142 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-13.62,0.10135,+887,KC@SEA,0.314,+321,0.23753,PASS,2026-05-01,22.4,2,official_mlb_schedule,valid,2.333333,64F / 7 mph wind / 3% precip / retractable roof; status unverified,neutral,0.172,0.406,Cal Raleigh,unavailable,22,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,SEA,0.0,0.454,0.327
0.207,9 HR / 134 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-6.31,0.100607,+894,CIN@PIT,0.446,+511,0.163666,PASS,2026-05-01,14.4,4,official_mlb_schedule,valid,0.264706,49F / 11 mph wind / 59% precip / open-air; roof not applicable,neutral,0.03,0.39,Sal Stewart,unavailable,23,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,CIN,0.0,0.562,0.403
0.104,8 HR / 131 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-12.86,0.100245,+898,SF@TB,0.442,+337,0.228833,PASS,2026-05-01,12.6,2,official_mlb_schedule,valid,1.35,79F / 8 mph wind / 0% precip / fixed dome,favorable,0.128,0.349,Junior Caminero,unavailable,24,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,TB,0.0,0.481,0.358
0.143,4 HR / 96 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-5.56,0.098939,+911,TOR@MIN,0.413,+547,0.15456,PASS,2026-05-01,23.4,3,official_mlb_schedule,valid,0.931034,53F / 8 mph wind / 0% precip / open-air; roof not applicable,favorable,0.091,0.418,Ryan Jeffers,unavailable,25,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,MIN,0.0,0.492,0.386
0.176,5 HR / 106 PA,3.4,unavailable/not used; BvP is supporting only,7.5,-4.77,0.098285,+917,TEX@DET,0.541,+585,0.145985,PASS,2026-05-01,8.7,4,official_mlb_schedule,valid,1.451613,48F / 8 mph wind / 6% precip / open-air; roof not applicable,favorable,0.147,0.467,Dillon Dingler,unavailable,26,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,DET,0.0,0.604,0.422
0.137,3 HR / 128 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-3.54,0.095355,+949,LAD@STL,0.48,+665,0.130719,PASS,2026-05-01,10.9,2,official_mlb_schedule,valid,2.373626,62F / 6 mph wind / 1% precip / open-air; roof not applicable,favorable,0.095,0.429,Freddie Freeman,unavailable,27,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,LAD,0.0,0.555,0.391
0.092,4 HR / 101 PA,9.49,unavailable/not used; BvP is supporting only,7.5,-6.4,0.09527,+950,TOR@MIN,0.5,+528,0.159236,PASS,2026-05-01,12.6,2,official_mlb_schedule,valid,1.8,53F / 8 mph wind / 0% precip / open-air; roof not applicable,neutral,0.083,0.407,Jesús Sánchez,unavailable,28,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,TOR,0.0,0.5,0.356
0.154,4 HR / 133 PA,3.4,unavailable/not used; BvP is supporting only,7.5,-4.21,0.094879,+954,TEX@DET,0.5,+630,0.136986,PASS,2026-05-01,13.8,5,official_mlb_schedule,valid,1.451613,48F / 8 mph wind / 6% precip / open-air; roof not applicable,favorable,0.147,0.467,Riley Greene,unavailable,29,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,DET,0.0,0.543,0.404
0.063,6 HR / 99 PA,3.59,unavailable/not used; BvP is supporting only,5.0,3.98,0.091903,+988,AZ@CHC,0.35,+1820,0.052083,LOTTERY,2026-05-01,7.2,2,official_mlb_schedule,valid,0.826531,44F / 10 mph wind / 5% precip / open-air; roof not applicable,favorable,0.072,0.47,Ildemaro Vargas,unavailable,30,game already started or completed,"Positive model angle, but confidence gates cap it below BET.",draftkings,AZ,0.1,0.52,0.384
0.125,5 HR / 123 PA,9.49,unavailable/not used; BvP is supporting only,7.5,-6.65,0.090771,+1002,TOR@MIN,0.514,+536,0.157233,PASS,2026-05-01,18.0,4,official_mlb_schedule,valid,1.8,53F / 8 mph wind / 0% precip / open-air; roof not applicable,favorable,0.083,0.407,Kazuma Okamoto,unavailable,31,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,TOR,0.0,0.42,0.32
0.117,4 HR / 129 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-6.33,0.090549,+1004,MIL@WSH,0.545,+550,0.153846,PASS,2026-05-01,9.1,2,official_mlb_schedule,valid,1.213483,67F / 10 mph wind / 1% precip / open-air; roof not applicable,favorable,0.125,0.512,Brice Turang,unavailable,32,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,MIL,0.0,0.555,0.42
0.128,8 HR / 121 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-9.04,0.090103,+1010,CIN@PIT,0.449,+454,0.180505,PASS,2026-05-01,16.4,2,official_mlb_schedule,valid,1.551724,49F / 11 mph wind / 59% precip / open-air; roof not applicable,neutral,0.085,0.462,Brandon Lowe,unavailable,33,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,PIT,0.0,0.479,0.356
0.162,3 HR / 118 PA,3.93,unavailable/not used; BvP is supporting only,7.5,-9.15,0.089969,+1011,SF@TB,0.554,+451,0.181488,PASS,2026-05-01,9.8,1,official_mlb_schedule,valid,0.391304,79F / 8 mph wind / 0% precip / fixed dome,neutral,0.129,0.435,Heliot Ramos,unavailable,34,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,SF,0.0,0.458,0.333
