date,game,player,team,prop_type,model_probability,fair_odds,market_odds,market_implied_probability,edge_percent,tier,confidence,result,win_loss_push,profit_loss_units,closing_odds,closing_line_value,notes,evaluation_mode
2026-04-18,KC@NYY,Aaron Judge,NYY,2+ TB,55.00,-122,120,45.45,9.55,A+,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 1 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Cody Bellinger,NYY,HR,7.49,+1235,,,,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,,,,"3 H, 9 TB, 2 HR, 2 R, 5 RBI",target_accuracy
2026-04-18,KC@NYY,Cody Bellinger,NYY,2+ TB,31.70,+215,145,40.82,-9.12,B,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.450,,,"3 H, 9 TB, 2 HR, 2 R, 5 RBI",betting_roi
2026-04-18,KC@NYY,Giancarlo Stanton,NYY,HR,7.62,+1212,,,,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,KC@NYY,Giancarlo Stanton,NYY,2+ TB,25.77,+288,150,40.00,-14.23,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,Ben Rice,NYY,HR,20.74,+382,,,,A+,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,,,,"1 H, 4 TB, 1 HR, 1 R, 1 RBI",target_accuracy
2026-04-18,KC@NYY,Ben Rice,NYY,2+ TB,55.00,-122,145,40.82,14.18,A+,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.450,,,"1 H, 4 TB, 1 HR, 1 R, 1 RBI",betting_roi
2026-04-18,KC@NYY,Randal Grichuk,NYY,HR,1.51,+6505,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 2 TB, 0 HR, 1 R, 1 RBI",target_accuracy
2026-04-18,KC@NYY,Randal Grichuk,NYY,2+ TB,6.00,+1567,150,40.00,-34.00,D,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.500,,,"1 H, 2 TB, 0 HR, 1 R, 1 RBI",betting_roi
2026-04-18,KC@NYY,Jazz Chisholm Jr.,NYY,HR,0.46,+21866,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,KC@NYY,Jazz Chisholm Jr.,NYY,2+ TB,6.00,+1567,100,50.00,-44.00,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,José Caballero,NYY,HR,3.90,+2465,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"2 H, 2 TB, 0 HR, 3 R, 0 RBI",target_accuracy
2026-04-18,KC@NYY,José Caballero,NYY,2+ TB,22.39,+347,270,27.03,-4.64,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,2.700,,,"2 H, 2 TB, 0 HR, 3 R, 0 RBI",betting_roi
2026-04-18,KC@NYY,J.C. Escarra,NYY,HR,2.73,+3563,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"2 H, 5 TB, 0 HR, 2 R, 3 RBI",target_accuracy
2026-04-18,KC@NYY,J.C. Escarra,NYY,2+ TB,11.47,+772,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, no live markets",W,W,,,,"2 H, 5 TB, 0 HR, 2 R, 3 RBI",target_accuracy
2026-04-18,CIN@MIN,TJ Friedl,CIN,HR,0.40,+24900,1000,9.09,-8.69,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,TJ Friedl,CIN,2+ TB,6.00,+1567,205,32.79,-26.79,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Will Benson,CIN,HR,0.40,+24900,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Will Benson,CIN,2+ TB,6.00,+1567,150,40.00,-34.00,D,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Elly De La Cruz,CIN,HR,8.24,+1114,525,16.00,-7.76,B,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 1 RBI",betting_roi
2026-04-18,CIN@MIN,Elly De La Cruz,CIN,2+ TB,37.28,+168,160,38.46,-1.18,A,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 1 RBI",betting_roi
2026-04-18,CIN@MIN,Sal Stewart,CIN,HR,10.16,+884,525,16.00,-5.84,B,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 1 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Sal Stewart,CIN,2+ TB,41.10,+143,170,37.04,4.06,A+,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 1 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Eugenio Suárez,CIN,HR,0.40,+24900,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"2 H, 3 TB, 0 HR, 2 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Eugenio Suárez,CIN,2+ TB,14.49,+590,100,50.00,-35.51,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.000,,,"2 H, 3 TB, 0 HR, 2 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Nathaniel Lowe,CIN,HR,0.40,+24900,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"2 H, 3 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Nathaniel Lowe,CIN,2+ TB,6.00,+1567,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, no live markets",W,W,,,,"2 H, 3 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Tyler Stephenson,CIN,HR,2.59,+3760,525,16.00,-13.41,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 2 RBI",betting_roi
2026-04-18,CIN@MIN,Tyler Stephenson,CIN,2+ TB,16.49,+507,148,40.32,-23.83,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 2 RBI",betting_roi
2026-04-18,CIN@MIN,Rece Hinds,CIN,HR,0.40,+24900,430,18.87,-18.47,D,"Medium — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 1 R, 1 RBI",betting_roi
2026-04-18,CIN@MIN,Rece Hinds,CIN,2+ TB,6.00,+1567,150,40.00,-34.00,D,"Medium — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 1 R, 1 RBI",betting_roi
2026-04-18,CIN@MIN,Ke'Bryan Hayes,CIN,HR,0.40,+24900,950,9.52,-9.12,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Ke'Bryan Hayes,CIN,2+ TB,6.00,+1567,210,32.26,-26.26,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Byron Buxton,MIN,HR,7.82,+1179,,,,B,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Byron Buxton,MIN,2+ TB,33.29,+200,-151,60.16,-26.87,A,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Austin Martin,MIN,HR,3.41,+2830,,,,D,"High — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"0 H, 0 TB, 0 HR, 2 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Austin Martin,MIN,2+ TB,27.28,+267,,,,B,"High — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"0 H, 0 TB, 0 HR, 2 R, 0 RBI",target_accuracy
