report_date,away,home,start_time_et,away_sp,home_sp,away_american,home_american,market_total,market_over_american,market_under_american,weather_summary,weather_temp_f,weather_wind_mph,weather_precip_pct,bullpen_away_score,bullpen_home_score,recent_form_away_score,recent_form_home_score,game_status_bucket,game_state,game_state_detail,game_status_note,away_score,home_score,verification_status,verification_notes,implied_away_pct_nv,implied_home_pct_nv,raw_model_away_win_pct,raw_model_home_win_pct,final_away_win_pct,final_home_win_pct,market_blend_alpha,model_away_win_pct,model_home_win_pct,edge_away_pct,edge_home_pct,prediction,decision_tier_vs_market,edge_on_pick_pct,model_confidence,missing_data_flags,analyst_confidence,rationale_summary,scoring_status
2026-04-26,COL,NYM,1:45 PM,TBD,Kodai Senga,-156,122,5.5,-120,-110,53F / 9 mph wind / 0% precip / Open,53.0,9.1,0,0.444,0.403,,,pregame,Yet To Begin,Scheduled,Yet to begin,,,Partial,hr_market_integrity_degraded|lineup_not_posted_api|recent_form_missing|starter_verification_failed,57.50,42.50,,,,,,,,,,PASS,data_blocked,,data_blocked,hr_market_integrity_degraded;lineup_not_posted_api;recent_form_missing;starter_verification_failed,Low,"Auto-generated live scaffold from MLB schedule + market odds: TBD vs Kodai Senga. Run compute to refresh lineups, weather, and model outputs before staking.",data_blocked
2026-04-26,SD,AZ,4:05 PM,Michael King,Ryne Nelson,-134,113,15.0,-105,-115,Conservative fallback / Retractable,,,,0.497,0.409,0.490,0.561,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Partial,weather_fallback_conservative|weather_geocode_failed|weather_live_missing,54.95,45.05,,,,,,,,,,PASS,data_blocked,,data_blocked,weather_fallback_conservative;weather_geocode_failed;weather_live_missing,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Michael King vs Ryne Nelson. Run compute to refresh lineups, weather, and model outputs before staking.",data_blocked
2026-04-26,MIA,SF,4:05 PM,Max Meyer,Landen Roupp,107,-123,7.5,-105,-115,60F / 12 mph wind / 1% precip / Open,59.5,12.3,1,0.509,0.457,0.491,0.496,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Verified,,46.69,53.31,25.00,75.00,44.52,55.48,0.10,44.52,55.48,-2.17,2.17,SF,C,2.17,High,,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Max Meyer vs Landen Roupp. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-26,LAA,KC,4:10 PM,Reid Detmers,Seth Lugo,-101,-114,8.5,-115,-105,78F / 15 mph wind / 17% precip / Open,77.7,15.1,17,0.384,0.306,0.512,0.480,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Verified,,48.54,51.46,71.08,28.92,50.79,49.21,0.10,50.79,49.21,2.25,-2.25,LAA,C,2.25,Medium,,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Reid Detmers vs Seth Lugo. Run compute to refresh lineups, weather, and model outputs before staking.",scored
2026-04-26,CHC,LAD,4:10 PM,Shota Imanaga,Justin Wrobleski,104,-121,8.5,-120,100,65F / 15 mph wind / 0% precip / Open,64.8,14.9,0,0.437,0.359,0.653,0.572,pregame,Yet To Begin,Pre-Game,Yet to begin,,,Verified,,47.24,52.76,73.37,26.63,49.85,50.15,0.10,49.85,50.15,2.61,-2.61,LAD,D,-2.61,Medium,,Medium,"Auto-generated live scaffold from MLB schedule + market odds: Shota Imanaga vs Justin Wrobleski. Run compute to refresh lineups, weather, and model outputs before staking.",scored
