avg_exit_velocity_allowed,barrel_allowed_pct,bb_pct,chase_pct,confirmation_status,csw_pct,er_hits_walks_props,era,fip,first_five_implication,fly_ball_pct,full_game_implication,game_key,ground_ball_pct,handedness,hard_hit_allowed_pct,hr_per_9,injury_workload_context,ip,k_minus_bb_pct,k_pct,matchup_implication,opponent,outs_prop_line_odds,pitch_count_trend,pitch_mix,pitch_speeds,pitcher,platoon_splits,player_id,recent_3_starts,recent_velocity_trend,rest_days,siera,strikeout_prop_line_odds,team,times_through_order_concern,whiff_pct,whip,xba_allowed,xera,xfip,xslg_allowed,xwoba_allowed
88.0,0.072,0.083916,,mlb_probable_current,,unavailable,6.25,,unavailable without F5 market,,bullpen context included in game table,HOU@BOS,,R,0.371,1.989474,not sourced; no inference from absences,31.666667,0.146853,0.230769,see game prediction and hitter pitch-type rows,BOS,unavailable,0,4-Seam Fastball 26.0%; Changeup 25.8%; Slider 17.9%; Sinker 16.2%,FF 95.1; SI 94.6; SL 89.8; CH 87.1,Mike Burrows,unavailable,681347,"{""bb"": 6, ""era"": 6.8936170212765955, ""hr"": 4, ""ip"": 15.666666666666668, ""k"": 18, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,HOU,unavailable,,1.67,0.241,3.85,,0.393,0.311
,,,,mlb_probable_current,,unavailable,,,unavailable without F5 market,,bullpen context included in game table,HOU@BOS,,L,,,not sourced; no inference from absences,0.0,,,see game prediction and hitter pitch-type rows,HOU,unavailable,0,,,Jake Bennett,unavailable,687562,"{""bb"": 0, ""era"": null, ""hr"": 0, ""ip"": 0.0, ""k"": 0, ""pitches"": 0, ""starts"": 0}",unavailable,,,unavailable,BOS,unavailable,,,,,,,
87.5,0.128,0.103704,,mlb_probable_current,,unavailable,2.7,,unavailable without F5 market,,bullpen context included in game table,SF@TB,,L,0.349,1.35,not sourced; no inference from absences,33.333333,0.155556,0.259259,see game prediction and hitter pitch-type rows,TB,unavailable,0,4-Seam Fastball 48.4%; Slider 32.4%; Changeup 12.5%; Curveball 6.7%,FF 93.4; SL 84.6; CH 85.2; CU 78.2,Robbie Ray,unavailable,592662,"{""bb"": 8, ""era"": 3.375, ""hr"": 3, ""ip"": 16.0, ""k"": 17, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,SF,unavailable,,1.14,0.224,4.51,,0.463,0.334
89.2,0.129,0.128713,,mlb_probable_current,,unavailable,3.91,,unavailable without F5 market,,bullpen context included in game table,SF@TB,,L,0.435,0.391304,not sourced; no inference from absences,23.0,0.118812,0.247525,see game prediction and hitter pitch-type rows,SF,unavailable,0,4-Seam Fastball 36.6%; Changeup 27.5%; Slider 27.3%; Curveball 8.6%,FF 95.1; SL 87.7; CH 86.6; CU 81.6,Shane McClanahan,unavailable,663556,"{""bb"": 6, ""era"": 3.7674418604651168, ""hr"": 1, ""ip"": 14.333333333333332, ""k"": 16, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,TB,unavailable,,1.26,0.231,4.36,,0.409,0.329
,,0.15,,mlb_probable_current,,unavailable,3.6,,unavailable without F5 market,,bullpen context included in game table,PHI@MIA,,R,,0.0,not sourced; no inference from absences,5.0,0.15,0.3,see game prediction and hitter pitch-type rows,MIA,unavailable,0,4-Seam Fastball 41.7%; Sinker 16.7%; Curveball 14.3%; Sweeper 13.1%,FF 94.7; SI 93.9; FC 90.4; CU 80.1,Zack Wheeler,unavailable,554430,"{""bb"": 3, ""era"": 3.6, ""hr"": 0, ""ip"": 5.0, ""k"": 6, ""pitches"": 0, ""starts"": 1}",unavailable,,,unavailable,PHI,unavailable,,1.2,,,,,
90.0,0.149,0.102941,,mlb_probable_current,,unavailable,4.6,,unavailable without F5 market,,bullpen context included in game table,PHI@MIA,,R,0.46,1.723404,not sourced; no inference from absences,31.333333,0.139706,0.242647,see game prediction and hitter pitch-type rows,PHI,unavailable,0,4-Seam Fastball 53.8%; Slider 16.3%; Sweeper 14.8%; Changeup 9.1%,FF 98.1; SL 87.2; CH 89.0; CU 81.1,Eury Pérez,unavailable,691587,"{""bb"": 5, ""era"": 4.108695652173913, ""hr"": 2, ""ip"": 15.333333333333332, ""k"": 15, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,MIA,unavailable,,1.4,0.243,5.15,,0.474,0.354
89.6,0.091,0.075949,,mlb_probable_current,,unavailable,3.72,,unavailable without F5 market,,bullpen context included in game table,TOR@MIN,,L,0.418,0.931034,not sourced; no inference from absences,19.333333,0.126582,0.202532,see game prediction and hitter pitch-type rows,MIN,unavailable,0,Sinker 33.9%; Slider 27.5%; Cutter 21.1%; Changeup 11.8%,FF 91.0; SI 91.4; FC 85.8; SL 78.9,Patrick Corbin,unavailable,571578,"{""bb"": 5, ""era"": 2.3478260869565215, ""hr"": 0, ""ip"": 15.333333333333336, ""k"": 13, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,TOR,unavailable,,1.24,0.289,5.9,,0.504,0.375
89.9,0.083,0.095588,,mlb_probable_current,,unavailable,6.3,,unavailable without F5 market,,bullpen context included in game table,TOR@MIN,,R,0.407,1.8,not sourced; no inference from absences,30.0,0.014706,0.110294,see game prediction and hitter pitch-type rows,TOR,unavailable,0,4-Seam Fastball 42.3%; Split-Finger 28.4%; Slider 25.4%; Curveball 4.0%,FF 92.5; SL 85.9; CU 76.7,Simeon Woods Richardson,unavailable,680573,"{""bb"": 9, ""era"": 8.162790697674419, ""hr"": 3, ""ip"": 14.333333333333332, ""k"": 7, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,MIN,unavailable,,1.7,0.268,4.82,,0.446,0.344
87.6,0.083,0.081818,,mlb_probable_current,,unavailable,4.78,,unavailable without F5 market,,bullpen context included in game table,LAD@STL,,R,0.403,1.367089,not sourced; no inference from absences,26.333333,0.172727,0.254545,see game prediction and hitter pitch-type rows,STL,unavailable,0,4-Seam Fastball 40.1%; Slider 32.6%; Changeup 17.7%; Curveball 9.6%,FF 94.2; SL 87.0; CH 85.2; CU 75.8,Emmet Sheehan,unavailable,686218,"{""bb"": 4, ""era"": 3.1153846153846154, ""hr"": 2, ""ip"": 17.333333333333332, ""k"": 20, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,LAD,unavailable,,1.25,0.245,3.98,,0.411,0.316
91.5,0.095,0.081481,,mlb_probable_current,,unavailable,4.75,,unavailable without F5 market,,bullpen context included in game table,LAD@STL,,L,0.429,2.373626,not sourced; no inference from absences,30.333333,0.059259,0.140741,see game prediction and hitter pitch-type rows,LAD,unavailable,0,4-Seam Fastball 35.6%; Slider 25.6%; Changeup 16.5%; Curveball 9.9%,FF 94.3; SI 94.3; FC 90.2; SL 86.1,Matthew Liberatore,unavailable,669461,"{""bb"": 6, ""era"": 6.27906976744186, ""hr"": 4, ""ip"": 14.333333333333334, ""k"": 9, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,STL,unavailable,,1.55,0.298,5.82,,0.52,0.373
89.9,0.073,0.103704,,mlb_probable_current,,unavailable,3.62,,unavailable without F5 market,,bullpen context included in game table,ATL@COL,,R,0.427,1.391753,not sourced; no inference from absences,32.333333,0.081481,0.185185,see game prediction and hitter pitch-type rows,COL,unavailable,0,Slider 38.9%; 4-Seam Fastball 37.4%; Curveball 10.4%; Sinker 6.3%,FF 94.6; SI 93.4; FC 91.6; SL 85.5,Grant Holmes,unavailable,656550,"{""bb"": 6, ""era"": 4.909090909090908, ""hr"": 3, ""ip"": 14.666666666666668, ""k"": 11, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,ATL,unavailable,,1.21,0.238,4.15,,0.412,0.322
88.2,0.113,0.134146,,mlb_probable_current,,unavailable,4.91,,unavailable without F5 market,,bullpen context included in game table,ATL@COL,,L,0.339,1.963636,not sourced; no inference from absences,18.333333,-0.02439,0.109756,see game prediction and hitter pitch-type rows,ATL,unavailable,0,4-Seam Fastball 30.5%; Sinker 21.0%; Changeup 20.4%; Curveball 15.5%,FF 90.0; SI 90.0; CH 85.5; CU 79.4,Jose Quintana,unavailable,500779,"{""bb"": 7, ""era"": 5.142857142857143, ""hr"": 4, ""ip"": 13.999999999999998, ""k"": 7, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,COL,unavailable,,1.53,0.275,5.35,,0.472,0.36
,,0.5,,mlb_probable_current,,unavailable,6.75,,unavailable without F5 market,,bullpen context included in game table,NYM@LAA,,R,,0.0,not sourced; no inference from absences,1.333333,-0.4,0.1,see game prediction and hitter pitch-type rows,LAA,unavailable,0,4-Seam Fastball 55.8%; Cutter 20.9%; Split-Finger 2.3%,FF 95.5; SI 93.2; FC 88.5; ST 81.1,Christian Scott,unavailable,681035,"{""bb"": 5, ""era"": 6.75, ""hr"": 0, ""ip"": 1.3333333333333333, ""k"": 1, ""pitches"": 0, ""starts"": 1}",unavailable,,,unavailable,NYM,unavailable,,3.75,,,,,
85.9,0.054,0.166667,,mlb_probable_current,,unavailable,4.76,,unavailable without F5 market,,bullpen context included in game table,NYM@LAA,,R,0.27,0.794118,not sourced; no inference from absences,11.333333,0.05,0.216667,see game prediction and hitter pitch-type rows,NYM,unavailable,0,Changeup 30.8%; 4-Seam Fastball 28.6%; Sinker 25.2%; Sweeper 15.4%,FF 98.3; SI 98.4; CH 91.5; ST 86.2,Walbert Urena,unavailable,700712,"{""bb"": 9, ""era"": 5.0625, ""hr"": 1, ""ip"": 10.666666666666666, ""k"": 12, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,LAA,unavailable,,2.21,0.211,3.43,,0.302,0.295
90.0,0.104,0.104,,mlb_probable_current,,unavailable,2.97,,unavailable without F5 market,,bullpen context included in game table,CLE@ATH,,L,0.429,1.186813,not sourced; no inference from absences,30.333333,0.168,0.272,see game prediction and hitter pitch-type rows,ATH,unavailable,0,4-Seam Fastball 45.5%; Changeup 23.6%; Curveball 16.7%; Slider 14.2%,FF 91.7; SL 82.9; CH 80.4; CU 78.9,Joey Cantillo,unavailable,676282,"{""bb"": 6, ""era"": 3.4468085106382977, ""hr"": 4, ""ip"": 15.666666666666668, ""k"": 14, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,CLE,unavailable,,1.32,0.226,3.88,,0.388,0.312
86.4,0.07,0.09,,mlb_probable_current,,unavailable,3.24,,unavailable without F5 market,,bullpen context included in game table,CLE@ATH,,R,0.324,1.44,not sourced; no inference from absences,25.0,0.1,0.19,see game prediction and hitter pitch-type rows,CLE,unavailable,0,Sinker 37.1%; Cutter 17.0%; Slider 16.0%; Changeup 16.0%,FF 94.4; SI 94.4; FC 91.4; SL 86.0,J.T. Ginn,unavailable,669372,"{""bb"": 6, ""era"": 3.2142857142857144, ""hr"": 3, ""ip"": 14.0, ""k"": 11, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,ATH,unavailable,,1.08,0.218,3.34,,0.358,0.291
88.9,0.056,0.142857,,mlb_probable_current,,unavailable,3.52,,unavailable without F5 market,,bullpen context included in game table,CWS@SD,,L,0.333,0.586957,not sourced; no inference from absences,15.333333,0.142857,0.285714,see game prediction and hitter pitch-type rows,SD,unavailable,0,4-Seam Fastball 32.5%; Sweeper 21.3%; Sinker 20.1%; Cutter 18.9%,FF 95.6; SI 95.5; FC 89.5; CH 89.6,Noah Schultz,unavailable,702273,"{""bb"": 9, ""era"": 3.5217391304347827, ""hr"": 1, ""ip"": 15.333333333333332, ""k"": 18, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,CWS,unavailable,,1.11,0.192,3.31,,0.318,0.29
88.4,0.1,0.066667,,mlb_probable_current,,unavailable,4.38,,unavailable without F5 market,,bullpen context included in game table,CWS@SD,,R,0.475,2.189189,not sourced; no inference from absences,24.666667,0.095238,0.161905,see game prediction and hitter pitch-type rows,CWS,unavailable,0,Curveball 40.4%; 4-Seam Fastball 36.5%; Sinker 11.1%; Slider 8.6%,FF 94.4; SI 93.7; SL 87.8; CH 86.7,Germán Márquez,unavailable,608566,"{""bb"": 5, ""era"": 4.319999999999999, ""hr"": 4, ""ip"": 16.666666666666668, ""k"": 12, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,SD,unavailable,,1.34,0.268,5.08,,0.491,0.352
89.3,0.172,0.156522,,mlb_probable_current,,unavailable,5.0,,unavailable without F5 market,,bullpen context included in game table,KC@SEA,,L,0.406,2.333333,not sourced; no inference from absences,27.0,0.130435,0.286957,see game prediction and hitter pitch-type rows,SEA,unavailable,0,4-Seam Fastball 53.6%; Changeup 18.8%; Slider 14.0%; Curveball 8.9%,FF 94.7; FC 89.5; SL 84.8; CH 84.2,Cole Ragans,unavailable,666142,"{""bb"": 12, ""era"": 4.408163265306123, ""hr"": 4, ""ip"": 16.333333333333332, ""k"": 18, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,KC,unavailable,,1.48,0.232,5.42,,0.48,0.362
89.4,0.085,0.042553,,mlb_probable_current,,unavailable,3.86,,unavailable without F5 market,,bullpen context included in game table,KC@SEA,,R,0.481,1.028571,not sourced; no inference from absences,35.0,0.148936,0.191489,see game prediction and hitter pitch-type rows,KC,unavailable,0,4-Seam Fastball 50.3%; Sinker 22.8%; Sweeper 13.7%; Slider 8.9%,FF 95.6; SI 95.3; SL 86.1; CH 89.1,Bryan Woo,unavailable,693433,"{""bb"": 2, ""era"": 6.352941176470588, ""hr"": 4, ""ip"": 17.0, ""k"": 10, ""pitches"": 0, ""starts"": 3}",unavailable,,,unavailable,SEA,unavailable,,1.06,0.245,3.66,,0.415,0.304
